Age,OwnACar,CommuteMethod,Tickets,NewsArticles,Height,ShoeSize,CourseCredits,AreaCode,FirstDates,Weddings,CookDinner,CupsofCoffee,ServingsofAlcohol,HoursofSleep,Voted,PastJob,CreditScoreChecked,FluVaccine,Laptop,MobileOS,CatorDog,Field
21,Yes,Bike,0,10,63,5.5,19,703,0,0,0,21,0,5,Yes,Internship,No,Yes,Mac,iOS (Apple),NeitherBothNoPref,"Humanities, Social Sciences or Other (including Law, Business and Education)"
22,No,Bike,0,10,69,9.5,10,707,2,1,0,7,0,7,No,Internship,Yes,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
28,Yes,Car,0,50,69,9.5,1,714,0,5,7,0,0,7,Yes,Yes,Yes,No,PC,iOS (Apple),Dog,Engineering or Math/Statistics
27,Yes,Walk,0,100,77.5,12.5,1,719,1,0,1,21,2,6.5,Yes,Internship,Yes,Yes,Mac,Android (Google),Dog,Engineering or Math/Statistics
24,Yes,Car,0,6,66,5,10,734,0,0,4,3,1,9,No,Yes,Yes,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
26,Yes,Car,1,3,66,8,9,734,1,0,3,15,4,8,No,No,Yes,No,Mac,Android (Google),Dog,Engineering or Math/Statistics
22,Yes,Walk,0,15,68,8,8,770,0,0,5,0,2,8,Yes,Internship,No,Yes,other,iOS (Apple),Dog,Engineering or Math/Statistics
27,Yes,Bike,0,7,64,6,11,785,0,2,2,0,6,6,No,PartTime,Yes,Yes,PC,iOS (Apple),Dog,Engineering or Math/Statistics
32,Yes,Bike,0,7,63,7,10,808,0,1,4,0,0.5,7,Yes,Yes,Yes,Yes,PC,Android (Google),Cat,Engineering or Math/Statistics
23,Yes,Bike,0,20,71,10.5,10,812,0,0,4,5,0,10,No,PartTime,Yes,No,Mac,iOS (Apple),Cat,Engineering or Math/Statistics
22,No,Bike,1,1,64,4,13,818,5,2,1,9,2,8,Yes,Yes,No,Yes,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
24,Yes,Bike,1,5,73,13,7,831,10,1,0,30,6,6,Yes,Internship,Yes,No,Mac,iOS (Apple),Cat,Engineering or Math/Statistics
28,Yes,Bike,0,10,72,11,0,857,0,2,0,0,1,6,Yes,Yes,No,No,Mac,Android (Google),Dog,Engineering or Math/Statistics
29,Yes,Walk,3,20,72,11,9,858,6,2,0,7,2,7,Yes,Yes,Yes,Yes,Mac,Android (Google),Dog,Engineering or Math/Statistics
24,No,Bike,0,30,74,11,8,858,4,0,6,25,3,7,No,No,Yes,Yes,Mac,iOS (Apple),NeitherBothNoPref,"Natural Sciences (e.g. Physics, Chemistry, Earth Sciences)"
31,Yes,Transit,0,10,70,11.5,10,917,0,7,0,7,3,6,Yes,Yes,Yes,Yes,Mac,iOS (Apple),Dog,Medical or Life Sciences
31,Yes,Transit,0,10,70,11.5,10,917,0,7,0,7,3,6,Yes,Yes,Yes,Yes,Mac,iOS (Apple),Dog,Medical or Life Sciences
25,Yes,Bike,7,75,70,9,10,937,0,1,0,0,0,8,Yes,Internship,Yes,Yes,Mac,Android (Google),NeitherBothNoPref,Engineering or Math/Statistics
22,Yes,Bike,0,30,76,12,10,949,0,0,0,0,30,8,Yes,No,No,No,PC,Android (Google),Dog,Engineering or Math/Statistics
27,Yes,Car,1,25,63,5,1,979,0,2,4,0,1,8,Yes,Internship,Yes,No,PC,Android (Google),NeitherBothNoPref,Engineering or Math/Statistics
28,Yes,Car,0,50,70,13,4,979,0,1,5,2,2,7,Yes,Yes,Yes,No,PC,Android (Google),NeitherBothNoPref,Engineering or Math/Statistics
